,Pick1,Pick2,Pick3,Result
347,113.0,113.0,204.0,-1.0
348,213.0,213.0,313.0,-1.0
349,113.0,113.0,113.0,0.0
350,114.0,114.0,114.0,0.0
351,112.0,202.0,202.0,0.0
352,209.0,209.0,209.0,-1.0
353,114.0,210.0,210.0,1.0
354,208.0,208.0,309.0,0.0
355,214.0,214.0,214.0,1.0
356,205.0,205.0,205.0,1.0
357,508.0,508.0,508.0,1.0
358,308.0,308.0,308.0,1.0
359,114.0,114.0,514.0,1.0
360,114.0,207.0,207.0,-1.0
361,211.0,211.0,211.0,0.0
362,113.0,113.0,113.0,0.0
363,210.0,210.0,210.0,1.0
364,209.0,310.0,310.0,1.0
365,113.0,113.0,113.0,0.0
366,211.0,211.0,211.0,0.0
367,113.0,113.0,208.0,0.0
368,403.0,403.0,403.0,1.0
369,110.0,206.0,206.0,0.0
370,114.0,114.0,114.0,1.0
371,209.0,209.0,309.0,0.0
372,205.0,205.0,205.0,0.0
373,111.0,111.0,611.0,-1.0
374,214.0,214.0,214.0,1.0
375,113.0,114.0,206.0,0.0
376,210.0,210.0,210.0,1.0
377,207.0,207.0,207.0,1.0
378,114.0,211.0,211.0,1.0
379,508.0,508.0,508.0,1.0
380,208.0,308.0,308.0,1.0
381,204.0,308.0,708.0,1.0
382,210.0,210.0,310.0,1.0
383,114.0,114.0,212.0,-1.0
384,404.0,404.0,404.0,1.0
385,202.0,312.0,312.0,0.0
386,110.0,110.0,210.0,0.0
387,114.0,214.0,314.0,0.0
388,111.0,111.0,204.0,-1.0
389,212.0,412.0,514.0,1.0
390,114.0,114.0,214.0,1.0
391,113.0,205.0,305.0,0.0
392,206.0,206.0,206.0,1.0
393,210.0,410.0,710.0,0.0
394,112.0,212.0,312.0,1.0
395,203.0,203.0,203.0,0.0
396,211.0,211.0,211.0,-1.0
397,114.0,203.0,203.0,0.0
398,114.0,114.0,214.0,-1.0
399,113.0,113.0,206.0,1.0
400,114.0,114.0,213.0,1.0
401,114.0,114.0,114.0,0.0
402,213.0,213.0,313.0,1.0
403,314.0,314.0,314.0,1.0
404,205.0,205.0,205.0,1.0
405,110.0,206.0,206.0,0.0
406,114.0,205.0,205.0,0.0
407,314.0,314.0,314.0,1.0
408,209.0,209.0,309.0,1.0
409,204.0,312.0,312.0,-1.0
410,214.0,214.0,214.0,1.0
411,213.0,213.0,213.0,1.0
412,113.0,205.0,311.0,1.0
413,214.0,214.0,214.0,1.0
414,113.0,113.0,211.0,1.0
415,213.0,213.0,314.0,0.0
416,207.0,207.0,207.0,-1.0
417,206.0,314.0,314.0,0.0
418,213.0,213.0,213.0,0.0
419,206.0,206.0,306.0,1.0
420,112.0,112.0,114.0,0.0
421,211.0,211.0,211.0,1.0
422,209.0,209.0,209.0,0.0
423,204.0,311.0,311.0,1.0
424,114.0,114.0,114.0,0.0
425,204.0,404.0,404.0,1.0
426,113.0,204.0,204.0,-1.0
427,204.0,204.0,204.0,0.0
428,114.0,206.0,307.0,1.0
429,212.0,212.0,212.0,-1.0
430,208.0,208.0,208.0,1.0
431,112.0,112.0,212.0,1.0
432,113.0,113.0,213.0,1.0
433,209.0,209.0,209.0,1.0
434,114.0,114.0,114.0,0.0
435,114.0,207.0,407.0,-1.0
436,212.0,612.0,612.0,1.0
437,111.0,111.0,208.0,0.0
438,212.0,412.0,812.0,1.0
439,213.0,313.0,713.0,1.0
440,114.0,114.0,114.0,-1.0
441,213.0,213.0,313.0,-1.0
442,113.0,211.0,211.0,0.0
443,206.0,306.0,306.0,0.0
444,206.0,206.0,306.0,-1.0
445,410.0,810.0,810.0,1.0
446,109.0,113.0,204.0,0.0
447,113.0,113.0,203.0,-1.0
448,110.0,110.0,508.0,0.0
449,114.0,204.0,204.0,0.0
450,113.0,113.0,212.0,0.0
451,110.0,110.0,113.0,0.0
452,214.0,214.0,214.0,1.0
453,114.0,114.0,209.0,1.0
454,114.0,204.0,204.0,0.0
455,212.0,212.0,212.0,-1.0
456,210.0,210.0,210.0,1.0
457,112.0,112.0,210.0,0.0
458,207.0,207.0,407.0,-1.0
459,210.0,210.0,313.0,1.0
460,204.0,611.0,611.0,1.0
461,203.0,304.0,703.0,1.0
462,111.0,112.0,209.0,-1.0
463,214.0,314.0,314.0,0.0
464,113.0,113.0,113.0,1.0
465,212.0,212.0,312.0,0.0
466,112.0,113.0,211.0,-1.0
467,412.0,412.0,712.0,1.0
468,208.0,208.0,208.0,0.0
469,112.0,112.0,203.0,0.0
470,202.0,202.0,202.0,0.0
471,209.0,309.0,309.0,1.0
472,114.0,114.0,114.0,-1.0
473,114.0,114.0,114.0,0.0
474,208.0,208.0,508.0,0.0
475,214.0,414.0,814.0,1.0
476,213.0,213.0,313.0,1.0
477,113.0,211.0,211.0,-1.0
478,204.0,204.0,307.0,0.0
479,112.0,112.0,112.0,0.0
480,114.0,206.0,206.0,1.0
481,113.0,213.0,213.0,1.0
482,204.0,204.0,304.0,1.0
483,210.0,210.0,210.0,0.0
484,207.0,207.0,207.0,0.0
485,712.0,712.0,712.0,1.0
486,113.0,113.0,206.0,-1.0
487,110.0,110.0,110.0,0.0
488,206.0,206.0,206.0,0.0
489,202.0,202.0,202.0,1.0
490,410.0,410.0,710.0,1.0
491,208.0,408.0,408.0,0.0
492,204.0,404.0,404.0,1.0
493,311.0,311.0,311.0,1.0
494,213.0,213.0,213.0,0.0
495,306.0,306.0,306.0,0.0
496,205.0,205.0,205.0,0.0
497,211.0,313.0,313.0,0.0
498,111.0,111.0,111.0,0.0
499,110.0,206.0,308.0,-1.0
500,205.0,205.0,205.0,0.0
501,214.0,214.0,214.0,0.0
502,305.0,613.0,613.0,1.0
503,112.0,207.0,207.0,0.0
504,114.0,114.0,114.0,0.0
505,113.0,205.0,205.0,-1.0
506,206.0,206.0,206.0,1.0
507,402.0,402.0,702.0,1.0
508,114.0,114.0,514.0,-1.0
509,206.0,312.0,312.0,1.0
510,114.0,203.0,610.0,1.0
511,211.0,411.0,711.0,1.0
512,211.0,211.0,211.0,1.0
513,110.0,207.0,207.0,-1.0
514,114.0,114.0,114.0,0.0
515,114.0,114.0,114.0,0.0
516,213.0,213.0,213.0,0.0
517,313.0,313.0,313.0,1.0
518,114.0,114.0,114.0,-1.0
519,205.0,308.0,309.0,-1.0
520,113.0,205.0,205.0,1.0
521,113.0,208.0,208.0,1.0
522,113.0,204.0,204.0,0.0
523,205.0,205.0,205.0,1.0
524,114.0,214.0,214.0,0.0
525,202.0,202.0,202.0,1.0
526,203.0,203.0,203.0,1.0
527,212.0,212.0,212.0,1.0
528,113.0,113.0,114.0,0.0
529,305.0,305.0,312.0,-1.0
530,205.0,205.0,205.0,1.0
531,209.0,209.0,614.0,1.0
532,111.0,111.0,111.0,0.0
533,207.0,207.0,511.0,1.0
534,209.0,209.0,514.0,1.0
535,113.0,206.0,206.0,0.0
536,402.0,402.0,702.0,-1.0
537,214.0,214.0,214.0,0.0
538,112.0,210.0,210.0,0.0
539,204.0,204.0,614.0,1.0
540,208.0,208.0,312.0,0.0
541,203.0,203.0,310.0,1.0
542,202.0,202.0,307.0,-1.0
543,114.0,212.0,212.0,0.0
544,214.0,214.0,214.0,1.0
545,209.0,314.0,314.0,1.0
546,211.0,211.0,211.0,1.0
547,204.0,404.0,404.0,1.0
548,205.0,205.0,405.0,1.0
549,114.0,211.0,211.0,0.0
550,206.0,206.0,206.0,0.0
551,210.0,210.0,210.0,1.0
552,208.0,208.0,208.0,1.0
553,208.0,208.0,208.0,1.0
554,112.0,113.0,212.0,-1.0
555,207.0,407.0,407.0,0.0
556,113.0,113.0,203.0,0.0
557,113.0,208.0,208.0,0.0
558,314.0,314.0,314.0,1.0
559,214.0,214.0,414.0,0.0
560,213.0,213.0,213.0,0.0
561,114.0,114.0,114.0,0.0
562,314.0,714.0,714.0,1.0
563,207.0,207.0,307.0,1.0
564,210.0,210.0,210.0,0.0
565,205.0,205.0,308.0,0.0
566,114.0,114.0,114.0,0.0
567,113.0,208.0,208.0,0.0
568,209.0,309.0,309.0,0.0
569,203.0,203.0,203.0,1.0
570,114.0,114.0,114.0,0.0
571,214.0,214.0,214.0,1.0
572,208.0,308.0,308.0,1.0
573,113.0,209.0,209.0,1.0
574,205.0,205.0,205.0,0.0
575,114.0,114.0,114.0,0.0
576,314.0,314.0,314.0,1.0
577,211.0,211.0,314.0,-1.0
578,213.0,213.0,613.0,1.0
579,112.0,203.0,312.0,1.0
580,114.0,114.0,114.0,0.0
581,113.0,113.0,113.0,-1.0
582,214.0,214.0,214.0,0.0
583,412.0,412.0,412.0,1.0
584,202.0,314.0,702.0,1.0
585,409.0,409.0,409.0,1.0
586,213.0,213.0,313.0,1.0
587,202.0,202.0,202.0,0.0
588,112.0,202.0,309.0,1.0
589,114.0,114.0,205.0,0.0
590,113.0,205.0,205.0,-1.0
591,202.0,202.0,202.0,-1.0
592,206.0,206.0,206.0,0.0
593,404.0,404.0,404.0,1.0
594,112.0,114.0,205.0,-1.0
595,112.0,112.0,209.0,-1.0
596,112.0,112.0,204.0,-1.0
597,212.0,212.0,212.0,1.0
598,404.0,404.0,404.0,0.0
599,214.0,214.0,414.0,1.0
600,207.0,207.0,207.0,1.0
601,114.0,212.0,212.0,1.0
602,209.0,209.0,209.0,0.0
603,114.0,114.0,208.0,-1.0
604,202.0,314.0,314.0,1.0
605,111.0,111.0,208.0,1.0
606,111.0,111.0,211.0,0.0
607,211.0,311.0,311.0,0.0
608,114.0,205.0,205.0,-1.0
609,404.0,404.0,404.0,0.0
610,114.0,212.0,312.0,1.0
611,114.0,211.0,211.0,1.0
612,114.0,114.0,114.0,1.0
613,211.0,211.0,211.0,0.0
614,112.0,113.0,513.0,1.0
615,114.0,203.0,203.0,0.0
616,407.0,707.0,707.0,-1.0
617,211.0,211.0,411.0,1.0
618,209.0,209.0,614.0,1.0
619,112.0,205.0,405.0,-1.0
620,112.0,512.0,512.0,1.0
621,206.0,206.0,314.0,1.0
622,402.0,402.0,402.0,1.0
623,208.0,208.0,208.0,1.0
624,114.0,114.0,114.0,-1.0
625,114.0,114.0,114.0,0.0
626,205.0,205.0,205.0,-1.0
627,204.0,306.0,306.0,1.0
628,313.0,313.0,313.0,1.0
629,204.0,204.0,204.0,1.0
630,212.0,212.0,212.0,0.0
631,113.0,202.0,202.0,0.0
632,114.0,114.0,114.0,0.0
633,614.0,614.0,614.0,-1.0
634,207.0,207.0,207.0,1.0
635,114.0,202.0,202.0,0.0
636,113.0,113.0,113.0,0.0
637,107.0,114.0,508.0,1.0
638,410.0,410.0,410.0,1.0
639,113.0,205.0,311.0,0.0
640,206.0,306.0,312.0,-1.0
641,114.0,209.0,209.0,1.0
642,111.0,205.0,508.0,-1.0
643,204.0,204.0,204.0,1.0
644,112.0,112.0,614.0,1.0
645,208.0,208.0,208.0,0.0
646,202.0,202.0,202.0,0.0
647,308.0,308.0,308.0,1.0
648,114.0,114.0,202.0,-1.0
649,114.0,114.0,114.0,0.0
650,204.0,204.0,204.0,1.0
651,204.0,305.0,305.0,-1.0
652,110.0,113.0,202.0,-1.0
653,206.0,314.0,314.0,-1.0
654,212.0,312.0,312.0,1.0
655,408.0,408.0,408.0,0.0
656,209.0,209.0,309.0,0.0
657,413.0,413.0,713.0,1.0
658,112.0,206.0,206.0,0.0
659,114.0,213.0,213.0,0.0
660,212.0,212.0,312.0,1.0
661,207.0,308.0,708.0,1.0
662,209.0,309.0,309.0,1.0
663,111.0,111.0,111.0,0.0
664,111.0,113.0,113.0,0.0
665,109.0,109.0,204.0,0.0
666,112.0,112.0,210.0,1.0
667,209.0,313.0,313.0,1.0
668,303.0,303.0,303.0,1.0
669,211.0,211.0,211.0,1.0
670,114.0,214.0,214.0,0.0
671,114.0,209.0,209.0,0.0
672,212.0,212.0,212.0,0.0
673,112.0,112.0,507.0,1.0
674,207.0,313.0,313.0,-1.0
675,114.0,207.0,313.0,-1.0
676,111.0,111.0,204.0,0.0
677,211.0,211.0,614.0,-1.0
678,112.0,112.0,114.0,-1.0
679,112.0,208.0,208.0,0.0
680,113.0,113.0,113.0,0.0
681,213.0,213.0,413.0,1.0
682,210.0,210.0,210.0,1.0
683,207.0,207.0,207.0,0.0
684,203.0,203.0,313.0,0.0
685,204.0,204.0,304.0,1.0
686,113.0,113.0,206.0,-1.0
687,113.0,210.0,210.0,1.0
688,113.0,113.0,113.0,0.0
689,204.0,204.0,204.0,1.0
690,114.0,114.0,114.0,-1.0
691,202.0,202.0,202.0,0.0
692,114.0,212.0,412.0,1.0
693,114.0,114.0,114.0,0.0
694,114.0,114.0,206.0,0.0
695,114.0,114.0,114.0,0.0
696,113.0,205.0,205.0,0.0
697,214.0,414.0,414.0,1.0
698,213.0,213.0,213.0,1.0
699,207.0,310.0,310.0,1.0
700,202.0,202.0,308.0,0.0
701,212.0,212.0,212.0,1.0
702,112.0,206.0,206.0,0.0
703,212.0,412.0,712.0,1.0
704,113.0,209.0,209.0,-1.0
705,203.0,203.0,203.0,1.0
706,110.0,110.0,210.0,-1.0
707,206.0,206.0,206.0,1.0
708,113.0,113.0,113.0,0.0
709,208.0,308.0,308.0,0.0
710,205.0,205.0,405.0,1.0
711,114.0,114.0,114.0,1.0
712,211.0,211.0,612.0,1.0
713,112.0,112.0,113.0,0.0
714,114.0,114.0,114.0,0.0
715,212.0,212.0,212.0,1.0
716,114.0,203.0,203.0,1.0
717,202.0,202.0,202.0,0.0
718,207.0,309.0,609.0,1.0
719,213.0,213.0,313.0,0.0
720,202.0,202.0,202.0,0.0
721,210.0,210.0,210.0,0.0
722,213.0,213.0,413.0,1.0
723,112.0,112.0,114.0,-1.0
724,114.0,114.0,204.0,0.0
725,110.0,112.0,206.0,0.0
726,110.0,208.0,308.0,-1.0
727,204.0,204.0,204.0,0.0
728,205.0,205.0,509.0,1.0
729,209.0,209.0,209.0,0.0
730,206.0,406.0,706.0,1.0
731,209.0,209.0,209.0,1.0
732,203.0,203.0,203.0,-1.0
733,114.0,114.0,114.0,0.0
734,114.0,114.0,114.0,0.0
735,207.0,207.0,307.0,1.0
736,113.0,113.0,113.0,0.0
737,113.0,113.0,114.0,-1.0
738,114.0,114.0,514.0,1.0
739,203.0,203.0,203.0,0.0
740,114.0,209.0,314.0,1.0
741,308.0,308.0,308.0,1.0
742,207.0,207.0,207.0,1.0
743,202.0,202.0,202.0,-1.0
744,310.0,310.0,310.0,1.0
745,203.0,203.0,309.0,-1.0
746,207.0,310.0,310.0,1.0
